Late Pass,Homework 1,Homework 2,Homework 3,Homework 4,Homework 5,Homework 6,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Quiz 6,Quiz 7,Midterm,Letter Grade,Grade
0,90,86,0,49,78,67,7,6,6,4,4,7,10,8.5714285714,F,High-risk
0,71,89,104,87,106,102,5,7,3,0,0,0,0,6,D,High-risk
1,105,90,97,96,108,104,6,10,7,8,8,7,10,15,B+,OK
1,92,85,105,86,106,100,4,8,7,9,8,3,0,12.4285714286,B,OK
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,High-risk
1,88.2,92,110,98,94,91,6,1,7,2,7,5,8,9.8571428571,C,High-risk
1,70,98,66.5,0,70,42,3,8,2,7,4,6,7,6.4285714286,F,High-risk
1,98,89,88,100,95,99,6,9,10,5,10,9,10,16.2857142857,A+,Good
0,96,103,101,105,104,84,7,0,7,6,6,4,10,11.5714285714,B,OK
0,43,88,87.5,98,102,107,1,9,7,4,6,0,0,3.4285714286,D,High-risk
0,72,85,69,87,106,98,6,0,5,2,8,7,10,9.4285714286,C,High-risk
0,84,98,78,87,100,96,8,0,6,9,6,0,5,8.5714285714,C,High-risk
0,98,105,98,83,84,91,10,2,10,5,10,7,9,14.5714285714,A-,OK
1,89,86,84,91,97,98,5,4,1,9,6,7,9,9.4285714286,C,High-risk
0,100,105,108.5,107,99,89,10,6,6,6,5,10,8,15,A-,OK
0,100,76,81,89,83,84,10,7,4,3,9,10,10,12.4285714286,B,OK
0,99,85,77,96,85,101,2,7,10,6,10,8,7,10.7142857143,B,OK
1,74,80,48,65,82,70,0,1,0,0,1,0,0,4.7142857143,F,High-risk
1,79,99,96,96,90,90,6,9,7,7,10,9,6,15.8571428571,B+,OK
0,107,104,97,99,80,101,10,10,10,8,10,9,9,14.1428571429,A-,OK
0,94,81,99.5,94,86,84,10,5,10,9,9,8,10,16.7142857143,B,OK
0,102,87,89,97,93,99,10,5,3,8,10,3,7,14.5714285714,A-,OK
0,83,113,108,105,107,96,10,10,6,10,10,10,9,17.1428571429,A+,Good
1,96,96,72,94,85,96,6,3,7,4,3,6,3,8.1428571429,D+,High-risk
1,97,101,101,91,111,100,5,7,5,5,4,9,2,10.7142857143,C-,High-risk
1,108,116,106,104,108,115,10,7,10,9,6,7,10,13.7142857143,A+,Good
1,97,72,56,51,96,0,8,6,6,0,4,0,7,10.2857142857,D+,High-risk
1,103,99,102,94,88,83,10,6,7,9,8,9,6,11.1428571429,B,OK
1,66,85,69,84,87,80,1,7,10,2,8,5,1,9.8571428571,D+,High-risk
0,86,98,77,76,103,81,6,3,7,6,9,8,8,15.4285714286,B-,OK
0,101,75,0,0,0,0,7,8,5,9,0,0,0,11.5714285714,F,High-risk
0,102,102,105,92,94,96,7,10,10,10,10,9,10,16.2857142857,A-,OK
1,102,98,97,96,102,86,6,9,7,7,6,8,6,10.7142857143,B-,OK
0,21,86,40,72,84,78,1,0,7,4,4,2,3,1.2857142857,F,High-risk
1,81,105,98.5,84,84,85,5,7,6,3,9,9,9,13.2857142857,B,OK
1,109,112,98,110,104,90,10,7,7,8,8,10,5,13.2857142857,A-,OK
0,93,112,97,107,106,105,7,3,3,5,7,8,8,12.4285714286,B+,OK
1,102,111,92,100,105,103,10,9,10,9,4,6,9,14.5714285714,A,Good
1,93,100,102,91,105,94,6,8,2,3,0,0,8,7.7142857143,C,High-risk
1,101,103,79,82,80,86,8,7,7,9,8,10,10,14.5714285714,B+,OK
1,109,104,108,108,104,103,10,7,0,10,8,8,9,13.2857142857,A-,OK
0,80,90,75,0,97,85,6,3,10,6,8,6,5,11.5714285714,C,High-risk
1,62,90,88,97,106,81,4,4,5,3,6,5,0,3.8571428571,D,High-risk
0,92,117,88,82,85,97,10,6,10,3,0,0,0,8.1428571429,C,High-risk
0,57,98,77.5,102,97,100,4,0,6,9,6,5,4,5.5714285714,C-,High-risk
0,83,94,79,98,73,84,10,5,5,3,4,5,8,7.7142857143,D+,High-risk
0,70,57,33,78,70,33,6,9,10,8,6,9,3,9,D-,High-risk
1,87,94,92,93,99,92,6,1,6,4,4,7,6,9.8571428571,D,High-risk
0,91,58,96.5,74,101,78,6,1,7,2,6,5,5,9.8571428571,C-,High-risk
0,109,90,109,103,0,0,10,6,6,10,10,5,10,14.5714285714,D-,High-risk
1,101,106,73,95,98,93,7,9,3,2,6,4,0,2.1428571429,D-,High-risk
0,93,0,0,0,0,0,7,4,10,3,5,0,0,6.8571428571,F,High-risk
0,47,59,77,94,98,80,3,0,7,10,8,3,4,3.8571428571,F,High-risk
0,53,59,58,68,67,69,10,4,0,8,5,7,0,8.1428571429,F,High-risk
1,96,118,99,102,112,105,10,10,10,3,4,8,5,19.2857142857,A+,Good
0,93,104,106,108,108,97,6,4,4,5,8,9,9,13.9285714286,A,Good
1,73,105,62,75,97,78,6,2,0,0,0,2,0,6,D-,High-risk
1,90,88,46,96,99,103,4,0,0,4,0,1,0,3,D-,High-risk
0,104,71,86.5,98,82,93,10,6,10,2,2,6,8,12.8571428571,B-,OK
0,83,91,95,84,100,98,6,8,7,3,4,8,6,8.5714285714,C,High-risk
0,108,105,89,98,98,105,10,7,7,6,10,8,9,16.7142857143,A+,Good
1,69,97,56,87,101,95,2,3,2,2,2,8,3,4.2857142857,D+,High-risk
1,95,100,104,96,95,104,6,8,10,7,6,7,7,14.1428571429,B,OK
1,103,98,108,110,109,106,6,10,10,10,10,10,9,16.2857142857,A,Good
1,79,40,77,58,62,90,7,6,7,6,8,7,6,12.8571428571,D+,High-risk
1,57,74,76,75,83,77,10,4,10,8,6,6,5,6.8571428571,D,High-risk
